'I love this car', "positive",
'This view is amazing', "positive",
'I feel great this morning', "positive",
'I am so excited about the concert', "positive",
'He is my best friend', "positive",
"plus you've added commercials to the experience... tacky.", "positive", 
"yes, nearly every time I fly VX this â€œear wormâ€ wonâ€™t go away :)", "positive", 
"@virginamerica Well, I didn'tâ€¦but NOW I DO! :-D", "positive", 
"it was amazing, and arrived an hour early. You're too good to me.", "positive", 
"I &lt;3 pretty graphics. so much better than minimal iconography. :D", "positive", 
"This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p", "positive", 
"@virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn", "positive", 
"Thanks!", "positive", 
"So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo", "positive", 
"I â¤ï¸ flying @VirginAmerica. â˜ºï¸ðŸ‘", "positive", 
"you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.", "positive", 
"I love this graphic. http://t.co/UT5GrRwAaA", "positive", 
"I love the hipster innovation. You are a feel good brand.", "positive", 
"this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews", "positive", 
"Moodlighting is the only way to fly! Best experience EVER! Cool and calming. ðŸ’œâœˆ #MoodlitMonday", "positive", 
"@freddieawards Done and done! Best airline around, hands down!", "positive", 
"View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr", "positive", 
"I'm #elevategold for a good reason: you rock!!", "positive", 
"wow this just blew my mind", "positive", 
"@ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood", "positive", 
"you know it. Need it on my spotify stat #guiltypleasures", "positive", 
"@ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! ðŸ˜Š", "positive", 
"@ladygaga @carrieunderwood  love all three but you really can't beat the classics!", "positive", 
"Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV", "positive", 
"not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.", "positive", 
"awesome. I flew yall Sat morning. Any way we can correct my bill ?", "positive", 
"I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G", "positive", 
"- amazing customer  service, again! ðŸ’•ðŸ’• RaeAnn in SF - she's the best! #customerservice #virginamerica #flying", "positive", 
"has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare", "positive", 
"has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare", "positive", 
"Have a great week ðŸŒžâœˆ", "positive", 
"come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH", "positive", 
"is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience", "positive", 
"and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!", "positive", 
"your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.", "positive", 
"Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining", "positive", 
"thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!", "positive", 
"you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!", "positive", 
"completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue", "positive", 
"@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015", "positive", 
"always!!! Xoxo", "positive", 
"best customer service rep in the world! #irmafromDallas takes the cake!!!", "positive", 
"you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!", "positive", 
"Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.", "positive", 
"@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf", "positive", 
"thank you for checking in. tickets are purchased and customer is happy ;-)", "positive", 
"Thank you for the follow", "positive", 
"ðŸ˜Ž RT @VirginAmerica: Youâ€™ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt", "positive", 
"Only way to fly! #Elevate #Gold", "positive", 
"you will match my #AmericanAirlines status? Cool!", "positive", 
"thanks!", "positive", 
"I love your guy's song! We're dancing to it for our high school dance revue", "positive", 
"done! Thank you for the quick response, apparently faster than sitting on hold ;)", "positive", 
"cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4", "positive", 
"Keep up the great work :)", "positive", 
"my goodness your people @love field are amazing under pressure â¤ï¸from Texas #beatstheothers in crisis Please fly me to NY", "positive", 
